,mmol_experiment1_reagent1_chemical1,mmol_experiment1_reagent2_chemical2,mmol_experiment1_reagent2_chemical3,mmol_experiment1_reagent3_chemical3,mmol_experiment1_reagent6_chemical5,mmol_experiment1_reagent7_chemical5
0,2.4197932396329422,0.5715,1.143,0.798,4.797306104714316,0.9011514229850098
1,5.060750377511907,0.0525,0.105,1.656,1.5107538561807516,2.623940908103411
2,2.940178882564758,0.069,0.138,2.568,1.113187051922659,3.6841190527916576
3,0.22116389824602162,0.588,1.176,1.746,4.3732348468390185,1.563762763415164
4,0.22116389824602162,0.8475,1.695,0.708,6.0165109711058005,0.4240712578752987
5,3.070275293297712,0.3285,0.657,1.47,2.7299587225722357,0.9011514229850098
6,0.3512603089789755,0.459,0.918,2.202,1.9348251140560506,3.3130567021507713
7,0.33825066790568015,0.978,1.956,0.132,5.1948729089724095,0.3710623506408864
8,2.1856197003136253,0.7185,1.437,0.318,3.5515967847056267,0.10601781446882468
9,3.2133813451039615,0.198,0.396,1.926,0.29154898978926785,2.7034542689550296
10,5.919386688349402,0.264,0.528,0.414,0.39756680425809254,5.035846187269172
11,0.3642699500522709,0.783,1.566,0.9,3.6576145991744515,2.782967629806648
12,0.06504820536647694,1.0425,2.085,0.0,5.300890723441235,0.5565935259613295
13,4.032988732721571,0.5235,1.047,0.246,2.014338474907669,3.5250923310884206
14,1.6912533395284006,0.393,0.786,1.848,2.83597653704106,2.3854008255485555
15,0.32524102683238476,0.9135,1.827,0.396,6.122528785574626,0.07951336085161852
16,0.05203856429318156,0.6525,1.305,1.566,4.479252661307843,1.537258309797958
17,5.0347310953653155,0.1335,0.267,1.344,1.1927004127742777,4.0551814034325435
18,1.8863979556278314,0.1005,0.201,2.928,1.6167716706495765,4.0816858570497505
19,2.979207805784644,0.621,1.242,0.342,4.9033239191831415,0.4770801651097111
20,1.3790219537693114,0.8805,1.761,0.042,6.546600043449923,0.05300890723441234
21,1.4310605180624927,0.3615,0.723,2.094,3.260047794916359,2.014338474907669
22,3.980950168428389,0.4905,0.981,0.402,2.4384097327829677,2.0408429285248753
23,0.07805784643977233,1.011,2.022,0.12,5.7249619813165324,0.39756680425809254
24,1.8343593913346499,0.75,1.5,0.354,4.0816858570497505,0.4505757114925049
25,2.6539667789522596,0.231,0.462,2.052,0.7951336085161851,5.406908537910059
26,4.241142989894297,0.1665,0.333,1.578,0.5830979795785357,3.0215077123615033
27,2.8881403182715766,0.6855,1.371,0.126,3.8696502281121012,0.6096024331957419
28,0.9106748751306772,0.945,1.89,0.0,5.512926352378883,0.02650445361720617
29,3.6557091415960046,0.426,0.852,0.81,2.226374103845318,1.5902672170323702
30,0.2471831803926124,0.2955,0.591,2.904,3.04801216597871,0.6891157940473603
31,1.5611569287954468,0.816,1.632,0.216,6.3345644145122755,0.10601781446882468
32,2.8361017539783946,0.555,1.11,0.672,4.691288290245492,0.23854008255485554
33,3.941921245208503,0.036,0.072,2.238,1.404736041711927,3.8166413208776886
34,7.688697874317575,0.0285,0.057,0.54,1.0071692374538346,4.187703671518575
35,4.17609478452782,0.5475,1.095,0.084,4.267217032370193,1.9348251140560506
36,0.33825066790568015,0.807,1.614,0.816,5.910493156636976,0.5035846187269173
37,0.1170867696596585,0.288,0.576,2.994,2.6504453617206174,3.074516619595916
38,4.592403298873273,0.417,0.834,0.414,1.8288072995872258,4.293721485987399
39,0.15611569287954466,0.9375,1.875,0.378,5.088855094503585,0.05300890723441234
40,0.44232779649204323,0.678,1.356,1.284,3.4720834238540084,1.563762763415164
41,2.0164943663607855,0.1575,0.315,2.64,0.1855311753204432,6.387573321746687
42,6.7650133581136025,0.2235,0.447,0.186,0.13252226808603088,4.9033239191831415
43,0.8326170286909049,0.7425,1.485,0.846,3.419074516619596,1.1661959591570714
44,0.01300964107329539,1.002,2.004,0.186,5.035846187269172,1.3517271344775148
45,4.397258682773842,0.483,0.966,0.24,1.7757983923528133,3.896154681729307
46,4.254152630967593,0.3525,0.705,0.828,2.5974364544862047,3.339561155767978
47,0.16912533395284007,0.873,1.746,0.63,5.857484249402563,0.10601781446882468
48,2.927169241491463,0.612,1.224,0.402,4.240712578752988,0.9541603302194221
49,7.298408642118714,0.093,0.186,0.462,0.9541603302194221,1.9348251140560506
50,0.22116389824602162,0.126,0.252,3.594,1.3517271344775148,1.6432761242667826
51,2.198629341386921,0.645,1.29,0.606,4.63827938301108,1.1396915055398653
52,1.1448484144499944,0.9045,1.809,0.054,6.281555507277862,0.15902672170323703
53,2.8361017539783946,0.3855,0.771,1.35,2.9950032587442976,3.2070388876819464
54,4.48832617028691,0.5145,1.029,0.072,2.1733651966109058,4.0551814034325435
55,0.07805784643977233,1.035,2.07,0.024,5.459917445144471,0.4770801651097111
56,2.1205714949471486,0.7755,1.551,0.12,3.8166413208776886,0.9541603302194221
57,6.01045417586247,0.255,0.51,0.408,0.5300890723441235,4.558766022159461
58,3.304448832617029,0.1905,0.381,1.914,0.7421247012817728,3.7106235064088637
59,0.7805784643977234,0.7095,1.419,1.002,4.028676949815338,0.39756680425809254
60,0.19514461609943085,0.9705,1.941,0.228,5.67195307408212,0.768629154898979
61,1.9644558020676037,0.45,0.9,1.494,2.3854008255485555,1.113187051922659
62,4.137065861307934,0.3195,0.639,1.014,3.2070388876819464,1.563762763415164
63,1.040771285863631,0.84,1.68,0.36,6.493591136215512,0.02650445361720617
64,2.302706469973284,0.5805,1.161,0.816,4.850315011948729,1.0071692374538346
65,1.9644558020676037,0.06,0.12,3.054,1.563762763415164,1.1661959591570714
66,1.6782436984551052,0.0435,0.087,3.252,1.1661959591570714,1.9613295676732567
67,2.5238703682193053,0.564,1.128,0.78,4.426243754073431,1.3782315880947207
68,1.5871762109420373,0.8235,1.647,0.174,6.069519878340213,0.4770801651097111
69,4.878615402485772,0.3045,0.609,0.732,2.782967629806648,3.074516619595916
70,3.5256127308630507,0.4335,0.867,0.84,1.9613295676732567,2.120356289376494
71,0.10407712858636312,0.954,1.908,0.336,5.247881816206822,1.24570932000869
72,2.3547450342664655,0.6945,1.389,0.336,3.6046056919400393,1.8288072995872258
73,3.265419909397143,0.174,0.348,1.998,0.34455789702368017,5.88398870301977
74,6.97316761528633,0.2385,0.477,0.03,0.23854008255485554,4.028676949815338
75,1.6912533395284006,0.759,1.518,0.384,3.4985878774712145,1.4842494025635455
76,0.2601928214659078,1.0185,2.037,0.006,5.141864001737996,1.4577449489463392
77,2.094552212800558,0.4995,0.999,1.236,1.8818162068216382,2.226374103845318
78,5.646184225810199,0.369,0.738,0.12,2.7034542689550296,0.34455789702368017
79,0.468347078638634,0.888,1.776,0.432,5.963502063871388,0.13252226808603088
80,2.966198164711349,0.6285,1.257,0.318,4.320225939604605,0.9806647838366284
81,5.594145661517017,0.1095,0.219,1.182,1.060178144688247,3.3130567021507713
82,2.3417353931931704,0.0765,0.153,2.814,1.4577449489463392,2.5444275472517925
83,3.2263909861772566,0.597,1.194,0.324,4.744297197479905,0.15902672170323703
84,0.7935881054710187,0.8565,1.713,0.408,6.387573321746687,0.21203562893764935
85,1.873388314554536,0.336,0.672,1.992,3.1010210732131216,1.24570932000869
86,1.235915901963062,0.4665,0.933,1.764,2.2793830110797306,1.7492939387356072
87,0.1300964107329539,0.9855,1.971,0.198,5.565935259613296,0.8481425157505974
88,1.1448484144499944,0.726,1.452,0.768,3.9226591353465134,2.014338474907669
89,6.986177256359624,0.207,0.414,0.15,0.6361068868129481,2.1468607429936997
90,3.629689859449414,0.141,0.282,1.962,0.4240712578752987,5.88398870301977
91,0.468347078638634,0.6615,1.323,1.338,3.7106235064088637,2.6504453617206174
92,0.4553374375653386,0.921,1.842,0.306,5.353899630675646,0.8746469693678036
93,3.1613427808107795,0.402,0.804,1.134,2.0673473821420814,4.161199217901369
94,4.0850272970147525,0.2715,0.543,1.23,2.8889854442754728,0.7156202476645666
95,1.1708676965965852,0.7905,1.581,0.498,6.175537692809038,0.02650445361720617
